"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.Dor-out","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV116","DESeq2",53.2974949271031,-8.14490621547248,3.24707409393723,-2.5083832335949,0.0121285046240211,0.0239904487068549,"deseq2",0.0239904487068549,-8.14490621547248,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1165","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.938958122991091,-0.477394751012807,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA,-3.72965895519682,-0.412438604983246,-4.57649438504958,-4.15244017810791,7.23281728647947,-0.477394751012807,0.335938435121624,0.49360053782291,0.938958122991091,0.677604166666666,0.954426345922434,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1165","DESeq2",35.5772161696949,-7.56163107550208,4.20700205487028,-1.7973918188959,0.0722734386146379,0.109304859789859,"deseq2",0.109304859789859,-7.56163107550208,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1169","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0569194738326212,3.75429277973864,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae","OM60(NOR5) clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1169",3.75429277973864,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE
"ASV1169","DESeq2",92.6071406129669,10.8697250937144,1.06562577653191,10.2003211006119,1.97618060356068e-24,2.96427090534103e-23,"deseq2",2.96427090534103e-23,10.8697250937144,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae","OM60(NOR5) clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV1169","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0326436786911176,4.38273682076146,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae","OM60(NOR5) clade",NA,-4.72230424929583,-6.4476329664282,5.29479908985486,11.6779349030286,2.8350360975663,4.38273682076146,0.000547999460257121,0.00506873398346235,0.0326436786911176,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV120","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0680334893063583,4.04779390503855,TRUE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula",NA,-1.43178081490225,-2.19530711342967,4.17146273391874,6.52596872177899,1.60953352498936,4.04779390503855,0.000547999460257121,0.0155852454731041,0.0680334893063583,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV120","DESeq2",44.8014033255857,5.55187706733352,0.731523652371463,7.5894703463591,3.2121577205922e-14,2.06495853466641e-13,"deseq2",2.06495853466641e-13,5.55187706733352,TRUE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV1245","DESeq2",17.1154090808378,-6.51144336453976,1.58120032634812,-4.11803821188069,3.82111347527722e-05,9.42192363766987e-05,"deseq2",9.42192363766987e-05,-6.51144336453976,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","OCS116 clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1245","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.650894773748887,-2.0207108571669,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","OCS116 clade",NA,NA,0.318111913349224,0.751647521583855,-4.30987268105963,-5.4641751215149,2.45477859321234,-2.0207108571669,0.000547999460257121,0.143159344261064,0.650894773748887,0.134375,0.526861393106695,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV125","DESeq2",35.1827614265872,-7.54588519360122,4.20701237155567,-1.79364464070043,0.0728699065265724,0.109304859789859,"deseq2",0.109304859789859,-7.54588519360122,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV125","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.943214250851512,-0.509072919262515,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,-3.68266235318253,0.34407300342092,-4.41227124573543,-4.75881865748633,7.4820839764997,-0.509072919262515,0.312501109694578,0.495650928070307,0.943214250851512,0.725,0.95468473478675,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1287","DESeq2",22.4953363530087,-6.90045807439257,2.90812978213377,-2.37281641169725,0.0176530358600568,0.0338036856894704,"deseq2",0.0338036856894704,-6.90045807439257,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1287","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.850350486833796,-0.911817164099106,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313",NA,0.700346283062691,1.77740292009104,-4.14256524890477,-5.24622958651408,5.18005374723781,-0.911817164099106,0.209304524505175,0.302422023124511,0.850350486833796,0.410416666666666,0.908990554301535,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1288","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.926676962380912,-0.561880028380246,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA,-3.7771059870361,-0.396488081061909,-4.51733502533754,-3.87317683696801,7.16713217916113,-0.561880028380246,0.302326754637769,0.477297028600426,0.926676962380912,0.707291666666666,0.952308681475616,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1288","DESeq2",43.1257621395251,-7.83924256004222,4.20683749141847,-1.86345267104648,0.0623986054812285,0.0976673824923576,"deseq2",0.0976673824923576,-7.83924256004222,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV13","DESeq2",500.906213262355,-2.06616670752708,0.347497627362959,-5.94584407153082,2.75035870130994e-09,1.41447018924511e-08,"deseq2",1.41447018924511e-08,-2.06616670752708,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV13","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.548399445638528,-2.43499815274674,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,5.3813819604079,5.68645826388154,4.45040159855459,-1.25115202660752,0.493520705211465,-2.43499815274674,0.000547999460257121,0.0863604206755048,0.548399445638528,0.136458333333333,0.53203972272856,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV13","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0678467715364159,-4.11587990601434,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV13",-4.11587990601434,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV130","DESeq2",78.7412156404238,0.645411483773138,0.370126753438339,1.74375799041141,0.0812012986502195,0.118071282774756,"deseq2",0.118071282774756,0.645411483773138,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV130","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0854740648033303,3.20380378878455,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,2.56921051947571,2.23858345277069,3.84702426437972,1.56168370640733,0.46987076444198,3.20380378878455,0.000547999460257121,0.0217101592331319,0.0854740648033303,0,0,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV131","DESeq2",70.6746732751466,-8.5538843784964,1.48554582218085,-5.75807507972989,8.50785157296434e-09,4.03003495561469e-08,"deseq2",4.03003495561469e-08,-8.5538843784964,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV131","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.535843529484246,-3.07453718341278,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,2.51145254005771,2.96871181312835,-4.7884873191594,-7.79182325742714,2.40229749062377,-3.07453718341278,0.000547999460257121,0.0937981121560313,0.535843529484246,0.133333333333333,0.524178312298614,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1329","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0340389648482836,4.5285141711216,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,-4.87199373434953,-6.46302695580705,4.46753245065748,10.861604689453,2.37723547156519,4.5285141711216,0.000547999460257121,0.00543393158514434,0.0340389648482836,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV1329","DESeq2",51.9920815722321,10.0369025714373,1.11305078212456,9.01747048079797,1.92482239741114e-19,2.03804724431768e-18,"deseq2",2.03804724431768e-18,10.0369025714373,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV133","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.209701166780731,1.93147001749929,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,3.11796062234062,2.88743295474591,3.92679495205943,1.08588751747227,0.571682692877156,1.93147001749929,0.0155432426385351,0.0671913050836427,0.209701166780731,0.0104166666666667,0.027053281909896,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV133","DESeq2",99.627424108694,0.229592143941945,0.325035839858252,0.706359471134229,0.479964618184844,0.557378266279173,"deseq2",0.557378266279173,0.229592143941945,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
