"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.pollution_cruise","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV2137","DESeq2",15.3529952906359,1.00386687106351,1.93104028187036,0.525585086338209,0.59917652098361,0.69238175758106,"deseq2",0.69238175758106,1.00386687106351,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Nitrincolaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV2137","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.995318636728017,0.185604051070489,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Nitrincolaceae",NA,NA,1.38405566351805,1.92543710921113,0.87719350618433,1.71115850540451,6.18537045667391,0.185604051070489,0.430051973081517,0.790584809770667,0.995318636728017,0.740198863636364,0.997891504975387,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV222","DESeq2",0,0,0,0,1,NA,"deseq2",NA,0,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Litoricola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV222","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.703462460320756,0.336372216333142,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Litoricola",NA,-2.58698995228329,-4.07671177894005,-1.88464191367132,2.23334984803909,5.29025113590015,0.336372216333142,0.302083863853441,0.35347079088274,0.703462460320756,0.349337121212121,0.633317517608555,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV223","DESeq2",26.9079273029144,-7.21402677176981,1.88019962580854,-3.71386401849549,0.000204118502582657,0.0030191908707521,"deseq2",0.0030191908707521,-7.21402677176981,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Aestuariicella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV223","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.00375466578248607,-2.90180734635431,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Aestuariicella",NA,-1.10426150044374,5.10530840857708,-2.42151258829764,-7.75569077991927,2.82391938721867,-2.90180734635431,0.000365399848804012,0.000312089638597945,0.00375466578248607,0.0121212121212121,0.071614883692561,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV23","DESeq2",73.5977246156317,8.29546297317085,1.61800445607617,5.08498940133687,3.67646598601404e-07,1.9117623127273e-05,"deseq2",1.9117623127273e-05,8.29546297317085,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV23","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.142904398587469,3.49478436068742,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA,4.71826889222062,-4.05477093382404,6.40700601963072,9.91896507465725,2.95080544971446,3.49478436068742,0.000365399848804012,0.0172308327880448,0.142904398587469,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV2303","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.705789713792025,-0.731808238169808,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA,-1.69441717149154,4.05758273522629,-2.17362909021522,-4.86399547334573,6.09568778572151,-0.731808238169808,0.238342775047909,0.330826673405558,0.705789713792025,0.291477272727273,0.735585833523558,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV2303","DESeq2",9.75139347668355,-5.46412070364049,2.12931450803757,-2.42218699557747,0.0154274096549986,0.0352997207378362,"deseq2",0.0352997207378362,-5.46412070364049,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV236","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.117109068411143,-3.9982874223982,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV236",-3.9982874223982,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,TRUE
"ASV236","DESeq2",41.7425783258753,-2.30425615059625,2.07867694182163,-1.07873396789001,0.280706338587668,0.384124463330494,"deseq2",0.384124463330494,-2.30425615059625,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV236","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.864932784264998,-0.502426038011942,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,-0.695089402942624,5.39506415567187,-1.20333041101627,-4.73944075789799,8.16625741068652,-0.502426038011942,0.31088132274071,0.465506337753528,0.864932784264998,0.420454545454546,0.891214377996673,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV24","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0146819701664484,-2.81042674195325,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA,-1.18322086999224,5.63848414514204,-2.27221948772127,-9.18480047685465,3.37277473389762,-2.81042674195325,0.000365399848804012,0.00224878605682273,0.0146819701664484,0.0121212121212121,0.071614883692561,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV24","DESeq2",79.0834843582168,-8.57999212510095,1.85547936816835,-4.46624939595983,7.96028085829397e-06,0.000206967302315643,"deseq2",0.000206967302315643,-8.57999212510095,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV246","DESeq2",112.165402542242,7.44651085285415,1.87982877720215,4.1800319607391,2.91468127850355e-05,0.000649557542066505,"deseq2",0.000649557542066505,7.44651085285415,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV246","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.162277642162666,1.62624759181141,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA,3.90071375019026,-4.33455141774843,4.71625147330845,8.83793604226224,4.71368025983348,1.62624759181141,0.0416731495435954,0.0244971036742746,0.162277642162666,0.0298295454545455,0.14598690228675,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV248","DESeq2",13.3881447103058,-0.582752407169723,2.17405713372271,-0.264679088559775,0.791256688050036,0.822906955572038,"deseq2",0.822906955572038,-0.582752407169723,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","australica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV248","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.671419467177897,-0.628932976983483,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","australica",-1.10328128572569,3.431711716788,-1.73334698940397,-4.02914197146155,6.01481779098385,-0.628932976983483,0.300518665469849,0.33651066810607,0.671419467177897,0.402651515151515,0.826867752264206,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV256","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.929165186197734,-0.233352785488127,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter",NA,-2.37148784150911,-2.46777688816245,-2.27412602681948,-1.5112287704332,6.11600459779036,-0.233352785488127,0.409326634621006,0.620540732135755,0.929165186197734,0.729498106060606,0.948516282190031,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV256","DESeq2",6.95169889708112,-6.15588365729995,2.20713966080124,-2.05591229598605,NA,NA,"deseq2",NA,-6.15588365729995,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
