"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV236","DESeq2",122.043640944235,-1.26973857778255,2.32512150410759,-0.565954012027309,0.571425043150199,0.628567547465219,"deseq2",0.628567547465219,-1.26973857778255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.0134912869552687,0.00130189498047158,"control",0.0134912869552687,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,"Aurantivirga",0.201648045082047
"ASV24","DESeq2",294.724612721328,-7.60791057508187,1.93788908594532,-3.72096764635007,0.000198460865872337,0.00332563810667774,"deseq2",0.00332563810667774,-7.60791057508187,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.0353401887892061,0,"control",0.0353401887892061,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA,"Pseudophaeobacter",2.47812501212914
"ASV248","DESeq2",19.6723637255879,-2.43866845961051,2.505898955365,-1.26047110527337,0.207499465066413,0.257182435575272,"deseq2",0.257182435575272,-2.43866845961051,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00225398240476077,0,"control",0.00225398240476077,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","australica","Alteromonas",0.589758695130456
"ASV256","DESeq2",26.4819473649266,-1.7223736895913,2.52312269109497,-3.3845201977633,0.000713027727921595,0.00418309600380669,"deseq2",0.00418309600380669,-1.7223736895913,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00313202495516658,0,"control",0.00313202495516658,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter",NA,"Amylibacter",2.37850216806459
"ASV2656","DESeq2",29.8061566628295,-4.94951396220176,2.19024751965583,-2.25537091566609,0.0241100567415782,0.0416016665344878,"deseq2",0.0416016665344878,-4.94951396220176,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.0038452898239106,0,"control",0.0038452898239106,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,1.38088927148299
"ASV27","DESeq2",190.553944186783,-3.80592020299433,1.72989720187924,-2.20729273394316,0.0272936146097235,0.0461891939549166,"deseq2",0.0461891939549166,-3.80592020299433,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.0224421901728577,0.000361637494575438,"control",0.0224421901728577,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA,"Oceaniserpentilla",1.33545961653644
"ASV3","DESeq2",234.271726459867,0.87525644416456,0.820227800871881,1.06708293142904,0.28593438866366,0.340030083816244,"deseq2",0.340030083816244,0.87525644416456,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.0177177965451487,0.0116447273253291,"control",0.0177177965451487,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",0.468482657494787
"ASV30","DESeq2",84.9843760491693,1.0240238450373,2.19024008500681,0.461519681311893,0.644425804357831,0.700116923252953,"deseq2",0.700116923252953,1.0240238450373,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.0052942406903676,0.00506292492405613,"control",0.0052942406903676,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,0.154829424438407
"ASV3131","DESeq2",28.1298278066521,-2.39319974286728,2.50975148761687,-1.34184387066159,0.179646624234077,0.232483866655864,"deseq2",0.232483866655864,-2.39319974286728,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00346862885271267,0,"control",0.00346862885271267,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA,"Tenacibaculum",0.63360717982969
"ASV319","DESeq2",90.2769302354077,-6.72784004527296,1.94036984437997,-3.46603654901053,0.000528191473040349,0.00350297963793789,"deseq2",0.00350297963793789,-6.72784004527296,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.0110540438598011,0,"control",0.0110540438598011,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA,"Oleispira",2.45556238713475
