"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.S-2","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV1157","DESeq2",35.530144680078,5.21545424366014,2.62184857195911,1.98922786748246,0.0466760572950047,0.0663945378361547,"deseq2",0.0663945378361547,5.21545424366014,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Aureispira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,TRUE
"ASV1157","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.235698319273997,2.91554888879827,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Aureispira",NA,-0.87406802059657,-5.29090251799544,5.40250985768096,10.7264252810845,3.94075902025687,2.91554888879827,0.000547999460257121,0.0493705717570193,0.235698319273997,0,0,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2,TRUE
"ASV116","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.990673541361595,0.130327313734896,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,-3.4070941993643,-4.17833270617364,-2.74148093606571,0.979057765035116,6.92303957985782,0.130327313734896,0.457364556151575,0.825699171109282,0.990673541361595,0.68125,0.988872025906909,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV116","DESeq2",36.4494550945273,-21.5774012427672,4.40873902950014,-4.89423417861357,NA,NA,"deseq2",NA,-21.5774012427672,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV118","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,3.7910493687132,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV118",3.7910493687132,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2,TRUE
"ASV118","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.161985484526612,4.37478732028656,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4 marine group",NA,1.60726605071857,-0.124097314209335,5.51187960594408,5.63308291619928,1.1112955404468,4.37478732028656,0.000547999460257121,0.019318739866224,0.161985484526612,0,0,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2,TRUE
"ASV118","DESeq2",50.144726868929,2.13388152330562,1.13946222110646,1.87270932180054,0.0611085354235156,0.0804059676625206,"deseq2",0.0804059676625206,2.13388152330562,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,TRUE
"ASV1194","DESeq2",37.581066418813,-8.09080300462002,2.30213596761385,-3.51447660713371,0.000440621478062208,0.00088856971968052,"deseq2",0.00088856971968052,-8.09080300462002,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1194","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,-3.64272472719887,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1194",-3.64272472719887,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV1194","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.606758184507485,-1.40516675351036,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,-0.526493976327109,2.30552531004308,-2.76558133107133,-4.71814651221322,3.44077004105786,-1.40516675351036,0.0697757370552277,0.172246949740936,0.606758184507485,0.2640625,0.640889370810646,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1218","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.995885371987298,0.138259055447119,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aureicoccus","marinus",1.85892429727939,1.95733588348497,1.72190321580666,0.235256308248803,1.85168728670059,0.138259055447119,0.457364556151575,0.74413184351507,0.995885371987298,0.734375,0.96848156030674,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1218","DESeq2",35.2480928127867,-3.14825779987704,1.40436887247175,-2.24175988345283,0.0249768952660529,0.0402853149452466,"deseq2",0.0402853149452466,-3.14825779987704,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aureicoccus","marinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1232","DESeq2",32.3478392209026,-7.87592943658651,3.96764449135134,-1.9850390965608,0.0471401218636699,0.0663945378361547,"deseq2",0.0663945378361547,-7.87592943658651,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1232","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.924920478732304,-0.591892503847672,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,-1.31840256813567,1.52201170146549,-2.79860611507156,-3.71141466930607,5.42375180065838,-0.591892503847672,0.2868230100843,0.60826717453101,0.924920478732304,0.685937499999999,0.957998596779172,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1233","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.542727079289777,-1.78217325378571,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,1.5789762015745,1.98880224560475,-2.85028144277259,-5.03466954248832,2.69066444783106,-1.78217325378571,0.000547999460257121,0.151059696973179,0.542727079289777,0.2,0.531993710124935,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1233","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,-3.60383258629144,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1233",-3.60383258629144,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV1233","DESeq2",39.9321066732964,-8.17346054906278,1.74300192473007,-4.6893009313966,2.7413997987195e-06,1.45866642492738e-05,"deseq2",1.45866642492738e-05,-8.17346054906278,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1253","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,-3.62754545828225,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1253",-3.62754545828225,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV1253","DESeq2",40.0870194516371,-8.17953410680975,1.69736581235438,-4.81895773278484,1.44310119242074e-06,9.01938245262961e-06,"deseq2",9.01938245262961e-06,-8.17953410680975,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1253","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.548486728012055,-2.33869758619285,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA,1.68382659140786,2.0363112738162,-2.7642044412238,-4.87938779473737,2.30467448361702,-2.33869758619285,0.000547999460257121,0.14099690142511,0.548486728012055,0.2,0.531993710124935,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV126","DESeq2",164.29169438979,24.6987408646305,4.3283543287059,5.7062659359533,1.15481524535383e-08,2.88703811338457e-07,"deseq2",2.88703811338457e-07,24.6987408646305,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Jiella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
