"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.Dor.out","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","TaxLabel","significance_label"
"ASV1236","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.107191724651489,4.42783784252541,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Epibacterium",NA,-3.50676146119061,-5.56755614822715,5.47753629429948,11.1164407822837,2.59463224312506,4.42783784252541,0.000547999460257121,0.0182862371187535,0.107191724651489,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Epibacterium","Significant"
"ASV1236","DESeq2",23.6971503869956,7.91617898030737,1.35515813516346,5.8415167757175,5.17276685215982e-09,1.65832819672182e-08,"deseq2",1.65832819672182e-08,7.91617898030737,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Epibacterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Epibacterium","Significant"
"ASV1244","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.109947383477205,4.35680441023887,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,-3.54866231536733,-5.45225597565329,5.54805861180003,11.1118842784336,2.59157368138018,4.35680441023887,0.000547999460257121,0.0199491348333349,0.109947383477205,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,NA,"Significant"
"ASV1244","DESeq2",24.2011519374277,7.94585966469176,1.37338897436142,5.78558573938334,7.22600920691726e-09,2.18787500987217e-08,"deseq2",2.18787500987217e-08,7.94585966469176,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,NA,"Significant"
"ASV1253","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.430728405733011,-2.29479378604598,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA,2.42161939429302,2.70755755668311,-3.06020283917729,-5.84852880009832,2.93872876426447,-2.29479378604598,0.000547999460257121,0.120373039250551,0.430728405733011,0.2,0.45901555986124,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Arenicella","Significant"
"ASV1253","DESeq2",60.2582794624485,-9.70330377397204,1.52669318156752,-6.35576544856856,2.07391273393704e-10,1.61468919999384e-09,"deseq2",1.61468919999384e-09,-9.70330377397204,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Arenicella","Significant"
"ASV13","DESeq2",103.031153858047,-10.4868981131949,1.55046833465809,-6.76369705770704,1.34514202310119e-11,2.44367467530049e-10,"deseq2",2.44367467530049e-10,-10.4868981131949,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Clade Ib","Significant"
"ASV13","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.447591429599636,-2.63524099217137,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,2.76962219915127,3.74023153016408,-3.58580921433973,-6.97522941034673,2.79408603597712,-2.63524099217137,0.000547999460257121,0.122034014029795,0.447591429599636,0.2,0.45901555986124,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Clade Ib","Significant"
"ASV1328","DESeq2",50.4266379695147,-9.44556611887832,1.88632907560493,-5.00737980505824,5.5175984829159e-07,1.03692799075489e-06,"deseq2",1.03692799075489e-06,-9.44556611887832,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,NA,"Significant"
"ASV1328","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.455900954420263,-1.89786806506526,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,0.972132979266947,1.71907986489073,-3.35629302820065,-5.42502842152834,2.73004498896777,-1.89786806506526,0.00789046640005469,0.123660137599256,0.455900954420263,0.2078125,0.468750584250825,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,NA,"Significant"
