"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV6","DESeq2",1163.95662261795,0.50759285511067,0.240515688523589,2.11047090546072,0.0348178146567127,0.0723487057801823,"deseq2",0.0723487057801823,0.50759285511067,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV60","DESeq2",109.887505543127,0.693201092614039,0.495191506973261,1.40016431574685,0.161464118966277,0.261755925918548,"deseq2",0.261755925918548,0.693201092614039,FALSE,"Bacteria","Marinimicrobia (SAR406 clade)",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV609","DESeq2",46.3326509481432,0.515648839618342,1.79939382348787,0.285068869425837,0.775591379532945,0.838477167062643,"deseq2",0.838477167062643,0.515648839618342,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV617","DESeq2",29.3960640202014,-3.27244687453799,2.11143992143313,-1.83925973397033,0.0658769924981292,0.119776349996598,"deseq2",0.119776349996598,-3.27244687453799,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV637","DESeq2",21.6397149680133,-5.1317732323642,1.71808900436926,-2.98696545654692,0.00281761557378127,0.00819669985100007,"deseq2",0.00819669985100007,-5.1317732323642,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV64","DESeq2",122.532085248015,3.91151117629673,0.707509713190151,5.52705245966255,3.25655608755598e-08,5.21048974008957e-07,"deseq2",5.21048974008957e-07,3.91151117629673,TRUE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV65","DESeq2",20.1137704544922,-5.02447614865677,1.74080671419175,-2.88618241277839,0.00389946077064286,0.0105748088695399,"deseq2",0.0105748088695399,-5.02447614865677,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ascidiaceihabitans",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV654","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0758337731605975,3.80563332904153,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Pelagibacterium","halotolerans","ASV654",3.80563332904153,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV654","DESeq2",60.4057744673905,6.18064680414728,2.21367520516198,2.3532481280008,0.0186102109984101,0.0431541124600814,"deseq2",0.0431541124600814,6.18064680414728,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Pelagibacterium","halotolerans",NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV658","DESeq2",20.7719544215383,-5.11453052030439,1.706413178272,-2.99725452717351,0.00272423156376299,0.0080717972259644,"deseq2",0.0080717972259644,-5.11453052030439,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS7 marine group",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
