"TaxaID","rab.all","rab.win.control","rab.win.Dor-in","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV111",-1.69428224456364,2.90396711230518,-3.36747634634101,-5.18368153553391,7.23766240930976,-0.71822685311694,0.234376882168507,0.464332034507751,0.809989452069946,0.609374999999999,0.883870346048798,"ALDEx2",0.809989452069946,-0.71822685311694,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV116",-3.13758323099159,-3.43394498919143,-2.9093744878485,-0.506097587363591,6.81661426257515,-0.0639847930799165,0.465116454608099,0.741308762219007,0.943836213417567,0.73125,0.962152167147717,"ALDEx2",0.943836213417567,-0.0639847930799165,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA
"ASV141",0.897225353843207,1.97321573694124,-3.21420698714143,-5.13143489605885,2.5243786702473,-1.89856861947568,0.000547999460257121,0.129480799386809,0.439265744867295,0.2,0.4620921592711,"ALDEx2",0.439265744867295,-1.89856861947568,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV160",4.01568983054782,3.60738205522627,6.345593863134,2.69128856700799,0.52218847436712,5.20943699308646,0.000547999460257121,0.0274891223304684,0.145676807373161,0,0,"ALDEx2",0.145676807373161,5.20943699308646,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","dokdonensis"
"ASV168",-3.44477153628148,-5.66959430887065,4.86969754676446,10.5791721239955,2.98189245915799,3.87536670454679,0.000547999460257121,0.0211328394310645,0.130877261096155,0,0,"ALDEx2",0.130877261096155,3.87536670454679,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleibacter",NA
"ASV169",4.62541649260882,0.110117141016265,5.63251071766814,5.45962782242197,4.40502177693887,1.17024766963796,0.000547999460257121,0.174292394593138,0.528856687305788,0.0046875,0.0135817307692308,"ALDEx2",0.528856687305788,1.17024766963796,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea","eurytherma"
"ASV175",4.11143905473373,4.63131153239612,-2.98602725330258,-7.53664877783072,2.3676934201344,-3.42024263091379,0.000547999460257121,0.0861053153093538,0.359375198709253,0.2,0.4620921592711,"ALDEx2",0.359375198709253,-3.42024263091379,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV180",3.96270423716839,2.92971975999348,5.30015148835743,2.33843787161201,1.49733909008864,1.68665017407545,0.000547999460257121,0.10256196387666,0.355393882174874,0.0046875,0.0131345274390244,"ALDEx2",0.355393882174874,1.68665017407545,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA
"ASV223",3.2261687098935,3.51244530047972,-3.26951176850482,-7.31415660305454,2.35319047305889,-2.75182234133788,0.000547999460257121,0.0991839020478973,0.385264325511983,0.2,0.4620921592711,"ALDEx2",0.385264325511983,-2.75182234133788,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Aestuariicella",NA
"ASV236",-1.44591577729112,4.031570222842,-2.91989233727638,-5.89662556875555,7.18376657076142,-0.673413902189735,0.257814109363974,0.440091568472236,0.805285671769856,0.660937499999999,0.914338166300887,"ALDEx2",0.805285671769856,-0.673413902189735,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA
"ASV248",-1.40802315970306,1.68043271323473,-3.01089309392763,-3.63628298995743,4.79930478159208,-0.719109444873545,0.242189286111662,0.421387512184232,0.766389271153024,0.54375,0.828475807987749,"ALDEx2",0.766389271153024,-0.719109444873545,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","australica"
"ASV256",-3.55648289407269,-3.86288165910842,-3.34432139521105,-1.46037626120694,7.34559727488525,-0.149421123920167,0.441860760246363,0.72676125915259,0.948466160823595,0.7640625,0.963924811676949,"ALDEx2",0.948466160823595,-0.149421123920167,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter",NA
"ASV319",2.96870474883081,3.56026715959533,0.795175594056124,-3.24326554011398,2.98046347751066,-1.27677647334928,0.023281977911024,0.335705001997172,0.747654890423515,0.2328125,0.511013676292062,"ALDEx2",0.747654890423515,-1.27677647334928,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA
"ASV343",-3.10425538396838,-3.47220448807246,-2.71853651557439,0.340738125896975,7.68837787163539,0.0342859282020552,0.480620252231404,0.759382512513833,0.955503109905261,0.7203125,0.970111211387257,"ALDEx2",0.955503109905261,0.0342859282020552,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV346",2.418809719082,0.93318134198041,4.96763523831146,3.97138783670054,1.44664170244929,2.88093622428814,0.000547999460257121,0.03962711393283,0.187573109121673,0,0,"ALDEx2",0.187573109121673,2.88093622428814,TRUE,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopumilus",NA
"ASV347",-1.70780156621726,0.261995249905296,-3.4720536646089,-3.9828451199511,4.9385657008181,-0.755228211654642,0.179690262997481,0.394477753298314,0.784508858179874,0.553125,0.845690535367219,"ALDEx2",0.784508858179874,-0.755228211654642,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","genovensis"
"ASV354",2.45907583500177,1.81564065151951,5.48404511529421,3.78153679468962,3.52381334882349,2.1062948793511,0.000547999460257121,0.132422840276216,0.427028518983584,0,0,"ALDEx2",0.427028518983584,2.1062948793511,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA
"ASV383",2.97204116283662,3.63011345924478,-3.08612034272935,-7.12845708804097,2.52985271799867,-2.60757535946943,0.000547999460257121,0.103627787757895,0.383489414707486,0.2,0.4620921592711,"ALDEx2",0.383489414707486,-2.60757535946943,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA
"ASV410",1.6938418773471,-3.8762885386704,4.29378871282158,8.380864672685,4.42795400799068,1.68993052579452,0.000547999460257121,0.107542859406134,0.364833727417994,0,0,"ALDEx2",0.364833727417994,1.68993052579452,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas","citrea"
"ASV424",-2.31975466990003,-3.23137838954896,0.567667612254183,1.61698882490904,6.7937439342099,0.213552679491295,0.457364556151575,0.681868564922176,0.991677146362413,0.63125,0.982806917040764,"ALDEx2",0.991677146362413,0.213552679491295,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter","arcticus"
"ASV441",2.38511836067889,-4.53700627544284,6.20358287561418,10.7490705792005,5.8627717512094,1.76558240423228,0.000547999460257121,0.0907468132322241,0.321629520206938,0,0,"ALDEx2",0.321629520206938,1.76558240423228,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA
