"TaxaID","rab.all","rab.win.control","rab.win.DOR1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV53",1.94980745963726,3.01330901855871,-2.97978522563094,-7.49519304575718,4.13648985514358,-1.80681665940019,0.000547999460257121,0.101087917595982,0.502162300053598,0.2,0.501518012328302,"ALDEx2",0.502162300053598,-1.80681665940019,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV56",0.245313851888185,2.4850396747713,-2.6697983182273,-5.05377943972188,3.24874228865459,-1.5251857875687,0.0234638632116018,0.136268993213199,0.548823444991436,0.225,0.544593033704691,"ALDEx2",0.548823444991436,-1.5251857875687,FALSE,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopelagicus",NA
"ASV62",-0.827438258875294,1.80078547876067,-2.68816002700799,-4.21604576317314,3.4586790411671,-1.17276443483617,0.0781324454049968,0.220308393795278,0.689507643907917,0.315625,0.652667239261938,"ALDEx2",0.689507643907917,-1.17276443483617,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas",NA
"ASV66",3.3798429678822,3.01885313222289,6.3105512359173,3.36724042691918,0.741511722769342,4.64408777578258,0.000547999460257121,0.0531251443063883,0.24834679221682,0,0,"ALDEx2",0.24834679221682,4.64408777578258,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA
"ASV72",-1.3773689357874,1.09073238606533,-3.02860390884758,-3.73645274105057,5.64011433202537,-0.684595372925181,0.250001695344365,0.461734082131298,0.847556056767337,0.5625,0.861175242572913,"ALDEx2",0.847556056767337,-0.684595372925181,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade",NA,NA
"ASV76",5.06960528963268,5.47855372857572,-2.81657924370413,-8.53964888675677,2.83832427323931,-2.89499784896301,0.000547999460257121,0.0896223453203988,0.437110711833409,0.2,0.501518012328302,"ALDEx2",0.437110711833409,-2.89499784896301,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV81",1.79131125344879,2.22238424177029,-3.30900926891133,-6.13412655693507,3.09161068311214,-1.93715047814089,0.000547999460257121,0.105132120797296,0.490986625792675,0.2,0.501518012328302,"ALDEx2",0.490986625792675,-1.93715047814089,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV92",-0.317925398150764,2.42021497664035,-2.90369534821357,-5.103984545371,3.64472153777162,-1.28151894499328,0.0310272461563087,0.16933375660336,0.615165981889688,0.242187499999999,0.568718457207637,"ALDEx2",0.615165981889688,-1.28151894499328,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Coraliomargarita",NA
"ASV111",-1.30039701560834,2.65960029942495,-2.65971834737003,-4.28760189946572,6.896685361057,-0.526663462866677,0.2868230100843,0.555459956720603,0.908788809003431,0.653124999999999,0.924188278888015,"ALDEx2",0.908788809003431,-0.526663462866677,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV116",-3.39336090202322,-3.6805056223976,-2.90824745647633,-0.0369941180415854,7.07069566630711,-0.00957816595133064,0.496124050418246,0.749279293281914,0.961666148698763,0.71875,0.953613110811903,"ALDEx2",0.961666148698763,-0.00957816595133064,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA
"ASV141",0.629857033115893,1.60307689393147,-3.02216226066658,-4.40813366643909,3.07709787848167,-1.41703828953658,0.00789046640005469,0.167283774864311,0.585098555298219,0.2046875,0.509613767675896,"ALDEx2",0.585098555298219,-1.41703828953658,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV160",3.74581814506851,3.29603365578283,6.10674789785826,2.73311622384868,0.447348438906825,6.1229429426813,0.000547999460257121,0.0129254342951325,0.104877133290574,0,0,"ALDEx2",0.104877133290574,6.1229429426813,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","dokdonensis"
"ASV169",4.20385191221241,-0.169459109250268,5.54061732553557,5.5993152404013,4.22885870969986,1.4035785878888,0.000547999460257121,0.158557073870654,0.545150703468297,0,0,"ALDEx2",0.545150703468297,1.4035785878888,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea","eurytherma"
"ASV175",3.71859866128626,4.2970224072464,-3.21943105726518,-7.64088005251187,2.36875004118991,-3.33153887926294,0.000547999460257121,0.101111530969898,0.4744906503533,0.2,0.501518012328302,"ALDEx2",0.4744906503533,-3.33153887926294,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV180",2.64868584187498,2.64868584187498,2.04640804546015,-0.660494508145304,4.85175344047562,-0.207884770068244,0.437500322930131,0.693957457502011,0.99928996047032,0.876562499999999,0.99875,"ALDEx2",0.99928996047032,-0.207884770068244,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA
"ASV223",2.91214722347536,3.22057656301564,-2.89192217676578,-6.46051157745625,2.56257523387395,-2.55936872847647,0.000547999460257121,0.112136982654675,0.474705433317299,0.2,0.501518012328302,"ALDEx2",0.474705433317299,-2.55936872847647,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Aestuariicella",NA
"ASV236",3.6127626491036,3.74272863506261,2.29661280439731,-0.406021014619222,8.69726961041819,-0.0355939313324041,0.437500322930131,0.915025269162564,1,0.873437499999999,0.987433513091376,"ALDEx2",1,-0.0355939313324041,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA
"ASV248",-1.37015076373828,1.26790462221486,-3.3692034853086,-3.36628549895873,4.89078266788749,-0.723096304642983,0.218752092515224,0.475541372258051,0.85954985910194,0.574999999999999,0.878277883083854,"ALDEx2",0.85954985910194,-0.723096304642983,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","australica"
"ASV256",-3.55322840215503,-3.74548604512215,-3.16282488149912,-0.460471378504784,6.31440436500366,-0.0713102223137519,0.476562619469233,0.77950593386028,0.969831594620324,0.703125,0.977697011399041,"ALDEx2",0.969831594620324,-0.0713102223137519,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter",NA
"ASV257",-3.65350464202647,-5.7422089069183,5.77703334768162,11.5457758284716,2.49695516996509,4.5026634633878,0.000547999460257121,0.0205026716916676,0.133384111795647,0,0,"ALDEx2",0.133384111795647,4.5026634633878,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ascidiaceihabitans",NA
"ASV319",2.74457871127271,3.26315659606188,0.878429455492464,-2.79962569948637,3.15619576359862,-0.866734683384153,0.0620249244046617,0.35615790817281,0.850080302915238,0.271875,0.59600392850615,"ALDEx2",0.850080302915238,-0.866734683384153,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA
"ASV343",-3.3970163852797,-4.02421927750752,-2.80642557911354,-0.355639253888786,7.20130543648522,-0.0511644416144828,0.492187539745284,0.810514467895423,0.979769901151894,0.66875,0.981623820246531,"ALDEx2",0.979769901151894,-0.0511644416144828,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV347",-1.44124819652617,0.028183294644931,-3.01028776016952,-3.57256133099762,5.26321076620822,-0.624144235277222,0.25581555923057,0.460251527059137,0.853447254498464,0.592187499999999,0.871998869745943,"ALDEx2",0.853447254498464,-0.624144235277222,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","genovensis"
"ASV354",2.2024430561103,1.43865965185974,4.36582906548426,3.13517743191282,2.81614691519803,1.40396762856003,0.000547999460257121,0.163284582627936,0.559811852170849,0,0,"ALDEx2",0.559811852170849,1.40396762856003,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA
"ASV363",-3.73667426254302,-5.87926611841512,6.71413985447705,12.5424147856632,2.99626253754049,4.36998839236001,0.000547999460257121,0.0147246942388269,0.110414750106837,0,0,"ALDEx2",0.110414750106837,4.36998839236001,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1","Alcanivorax","nanhaiticus"
"ASV383",3.02016167364481,3.27756469288789,2.43405396842188,-1.22254550755411,1.24552589677366,-0.894123205271772,0.186049106949428,0.342276733811656,0.821688113961414,0.496874999999999,0.819712217845683,"ALDEx2",0.821688113961414,-0.894123205271772,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA
"ASV424",-3.68383586261164,-4.22712947853377,-3.13543522044998,-0.114250464243508,6.50055320382874,-0.0207605855531724,0.496124050418246,0.801261099503128,0.97189520030802,0.690625,0.966934444717466,"ALDEx2",0.97189520030802,-0.0207605855531724,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter","arcticus"
"ASV441",2.04575302612795,-5.05044571686277,6.05997191797558,11.1068680678536,5.70650964793735,1.76315041635602,0.000547999460257121,0.0845761744272819,0.341144963802317,0,0,"ALDEx2",0.341144963802317,1.76315041635602,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA
"ASV442",0.343214524536854,2.79038384657983,-2.96169240210079,-5.48924645964293,3.34654414707905,-1.66489647537459,0.023281977911024,0.1437016107967,0.573950734618861,0.2296875,0.549190111489366,"ALDEx2",0.573950734618861,-1.66489647537459,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia","meonggei"
"ASV479",1.48314024610742,2.55943645936291,-3.19892222750682,-5.5644656030052,2.53440135605811,-2.37177245593926,0.000547999460257121,0.126564245333996,0.52532105817493,0.2015625,0.504147219059071,"ALDEx2",0.52532105817493,-2.37177245593926,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea",NA
"ASV495",0.439953490269861,-4.12659291512451,6.76699636632422,10.8598368050017,4.23526517795821,2.5663122737704,0.000547999460257121,0.0487388518096068,0.235699026033964,0,0,"ALDEx2",0.235699026033964,2.5663122737704,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Oleiphilaceae","Oleiphilus",NA
"ASV506",-1.29772539918612,2.6995081669853,-3.12665350050859,-4.24162563764456,6.89008504336635,-0.594729134874578,0.273438950036086,0.551433103799875,0.90455411870438,0.659374999999999,0.931261076304083,"ALDEx2",0.90455411870438,-0.594729134874578,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA
"ASV523",1.4587963301155,1.86928191226456,-3.01784025795022,-5.36193103527574,2.82344147222838,-1.85764860444994,0.000547999460257121,0.132278392660606,0.525707009586986,0.2,0.501518012328302,"ALDEx2",0.525707009586986,-1.85764860444994,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia","aquaemaris"
"ASV543",1.35136643142296,1.63695635821793,0.261247345944748,-1.50354298409891,2.68045112265392,-0.515927592503951,0.201552709217163,0.467484478391204,0.925949263972036,0.58125,0.877765286690539,"ALDEx2",0.925949263972036,-0.515927592503951,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Dokdonia","lutea"
"ASV566",1.40684577534472,1.76536936918898,-3.12769521061503,-4.80614314168452,2.84804478131338,-1.69542692351176,0.000547999460257121,0.16468143233739,0.569049221402268,0.2015625,0.504063216730818,"ALDEx2",0.569049221402268,-1.69542692351176,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Shewanellaceae","Psychrobium",NA
"ASV578",-3.91779193483279,-6.02659204888663,5.28826575644872,11.1546367846344,2.74562886873743,4.6454425996896,0.000547999460257121,0.018439125298072,0.128861897292521,0,0,"ALDEx2",0.128861897292521,4.6454425996896,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Actibacter",NA
"ASV579",3.04852440887699,2.5044816371797,3.60428111824276,1.1616200174439,1.65889460652402,0.635890239286784,0.156253315143681,0.339464965217032,0.960390024953777,0.1578125,0.453272006600936,"ALDEx2",0.960390024953777,0.635890239286784,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA
"ASV582",0.43833961923351,0.946226904999246,-2.65425133795698,-4.63111950879104,3.12551215074051,-1.51664476891785,0.0156646691693825,0.167292724667097,0.608196083691569,0.2421875,0.546466981614418,"ALDEx2",0.608196083691569,-1.51664476891785,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Oleiphilaceae","Oleiphilus",NA
"ASV613",-3.80017387447124,-5.92857269268376,7.08607660624483,12.9597165072391,2.59363098835958,5.75560625368762,0.000547999460257121,0.0158869129665917,0.115870108729461,0,0,"ALDEx2",0.115870108729461,5.75560625368762,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","HTCC5015",NA
"ASV651",1.9777262888732,2.27765931443443,-2.73097287719305,-5.14882726024537,1.86581115304269,-2.66747473801277,0.000547999460257121,0.142800537411454,0.548834118998505,0.2,0.501518012328302,"ALDEx2",0.548834118998505,-2.66747473801277,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA
"ASV691",1.37238105287086,0.697307855975377,5.01533792340235,4.30675490205869,1.01200876032105,4.30787715943624,0.000547999460257121,0.0238118488085446,0.147910848019472,0,0,"ALDEx2",0.147910848019472,4.30787715943624,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Dokdonia",NA
