"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV319","DESeq2",95.3906187013706,-6.6961769710996,1.85291161378965,-3.52567227712675,0.000422409336827231,0.00321214217320493,"deseq2",0.00321214217320493,-6.6961769710996,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV34","DESeq2",63.3058371762213,0.549836109208918,0.89548806806575,0.614126485103676,0.539131747865335,0.572411485387886,"deseq2",0.572411485387886,0.549836109208918,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV343","DESeq2",39.8918229532949,-1.53006858521995,2.35095450665868,-3.5099411479567,0.000448205884633246,0.00321214217320493,"deseq2",0.00321214217320493,-1.53006858521995,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV347","DESeq2",29.4589752608441,-2.27487401419504,2.35656867998263,-1.43145932604254,0.15229861608751,0.192612955640086,"deseq2",0.192612955640086,-2.27487401419504,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","genovensis",NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV354","DESeq2",21.9095714005692,-2.32509346028223,2.35359382509223,-1.36395942660406,0.17258033569803,0.209040970000431,"deseq2",0.209040970000431,-2.32509346028223,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV357","DESeq2",56.0853832195856,3.94121652465219,1.90116542905575,2.02171498931226,0.0432058044392504,0.0675581669413733,"deseq2",0.0675581669413733,3.94121652465219,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Dokdonia",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV37","DESeq2",34.7882263271033,-5.58599539056438,1.89384939214587,-2.94861926171141,0.00319196953414115,0.0105580530744669,"deseq2",0.0105580530744669,-5.58599539056438,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV383","DESeq2",92.6743563496138,-6.75788507146582,1.83795669304157,-3.62039431871239,0.000294154380758456,0.0031621595931534,"deseq2",0.0031621595931534,-6.75788507146582,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV39","DESeq2",29.6575326198398,-5.35354957878943,1.91873158855893,-2.78901099211242,0.00528692705827226,0.0137780523336792,"deseq2",0.0137780523336792,-5.35354957878943,TRUE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV4","DESeq2",165.101277603736,-7.55274354036369,1.76295898099777,-4.15290585420297,3.28279821168168e-05,0.000941068820682082,"deseq2",0.000941068820682082,-7.55274354036369,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV42","DESeq2",22.8727171459538,-4.6451722365619,2.08383322651724,-2.22094333691366,0.0263547994790971,0.0435867837538913,"deseq2",0.0435867837538913,-4.6451722365619,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV424","DESeq2",15.9099352541,-1.49949250232233,2.34876279073453,-1.03662721344801,0.299909625566769,0.334963997386262,"deseq2",0.334963997386262,-1.49949250232233,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter","arcticus",NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV442","DESeq2",63.2605184357836,-5.49039070524122,2.01425768020942,-2.6881223266366,0.00718550681526937,0.0181751054739166,"deseq2",0.0181751054739166,-5.49039070524122,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia","meonggei",NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV45","DESeq2",53.5038341778963,-0.123562832907901,1.00773071254339,-0.122614196448239,0.902412612135812,0.913029231102116,"deseq2",0.913029231102116,-0.123562832907901,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV47","DESeq2",26.8702161472599,-2.4737169010218,2.34511689864968,-1.46188993890793,0.143771372470806,0.187338455037717,"deseq2",0.187338455037717,-2.4737169010218,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV479","DESeq2",44.7143040389067,-5.73352131901144,1.94793338738939,-2.92938394737957,0.00339634612603521,0.0108179913644084,"deseq2",0.0108179913644084,-5.73352131901144,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV49","DESeq2",324.309694873831,-7.31805972253732,1.85917257607991,-3.6989644539095,0.000216480913456209,0.00310289309287233,"deseq2",0.00310289309287233,-7.31805972253732,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV5","DESeq2",323.598801815103,1.77302176018461,0.541237544461555,3.27601438087901,0.00105283199781357,0.00601101680390907,"deseq2",0.00601101680390907,1.77302176018461,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV50","DESeq2",64.5697340194137,-5.23625182554273,2.05150985648683,-2.56179026287637,0.010413418385907,0.0219497563216262,"deseq2",0.0219497563216262,-5.23625182554273,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV506","DESeq2",41.2807504698822,-2.34190178898132,2.35357151666631,-1.54546812024199,0.122233074286467,0.172328596535018,"deseq2",0.172328596535018,-2.34190178898132,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
